ID;PRANCHA;CLASSE;MARACODE;ITEM;QTD SERVICO EXECUTADO;PESQUISA MATERIAL;MATERIAL;QTD MATERIAL;LOCAL EXECUCAO OBRA
592256;1/1;PB CLASSE P;100021;;28,33;;;;
592256;1/1;PB CLASSE L;221708;;1;;;;
592256;1/1;PB CLASSE C;226041;;2;;;;Estação HGA
592256;1/1;PB CLASSE CFO;240079;;2;;;;
592256;1/1;PB CLASSE CFO;290689;;288;;;;
592256;1/1;PB CLASSE BFO;293105;;10;;;;
592256;1/1;PB CLASSE G;420018;;30;;;;
592256;1/1;PB CLASSE G;460036;;0,28;;;;
592256;1/1;PB CLASSE LE;520985;;1;;;;
592256;1/1;PB CLASSE LFO;290107;;50;;;;Site B
592256;1/1;PB CLASSE LFO;290107;;1000;;;;Site A
592256;1/1;Misc.TBRA;888888;;;0380-9200-0;;24;
592256;1/1;Misc.TBRA;888888;;;0452-0120-3;;1000;Site A
592256;1/1;Misc.TBRA;888888;;;0452-0120-3;;50;Site B
592256;1/1;Misc.TBRA;888888;;;0460-0084-4;;2;
